model,model_name,accuracy,precision_weighted,recall_weighted,f1_weighted
tfidf_word_logreg,TF-IDF word LR,0.6600877192982456,0.66374190764084,0.6600877192982456,0.6604574623529426
tfidf_char_logreg,TF-IDF char LR,0.6510025062656641,0.6528045222263738,0.6510025062656641,0.6509540054073476
tfidf_char_svm,TF-IDF char SVM,0.6497941281775869,0.651229773262804,0.6497941281775869,0.649967243714459
cnn_lstm_bpe,CNN-LSTM BPE,0.6057107053347655,0.6188270479958129,0.6057107053347655,0.598098119334272
